smiles_1,associating,m,sigma,epsilon_k,mu,epsilonAB,KAB,total_residual,mean_residual,max_residual,m_error,sigma_error,epsilon_k_error,mu_error,epsilonAB_error,KAB_error,#DDB
C=C(C)C1CC=C(C)CC1,False,3.680490900011237,3.917748301938523,281.1132516948462,0.12580275535583496,0.0,0.0,4.149764459933139,0.03952156628507751,0.5,0.11907372493713274,0.04284072096713948,5.167359827503835,0,0.0,0,510
C=CC(=C)C,False,2.473751771858317,3.698050019622139,244.50176909590212,0.21619468927383423,0.0,0.0,0.9327585567052724,0.0034546613211306385,0.5,0.01271396334561429,0.006032207918338956,0.7739081102373085,0,0.0,0,98
C=CC#N,False,2.4026098744257722,3.320146364293245,294.73954482505064,1.417824387550354,0.0,0.0,6.839942208953736,0.042749638805960846,0.5,0.05912909668262266,0.024965888769188906,4.477389488720713,0,0.0,0,228
CCCCC(=O)O,True,4.354415131282863,3.2807571283415227,258.0920606739986,2.3310580253601074,2353.611582619169,0.01,3.775945691976094,0.019167237015107075,0.5,0.5166838224194893,0.13959626132739558,10.89257590493709,0,139.8774526629088,0,324
CCNCC,True,1.1786148019973348,4.999999998447434,339.07401818266925,0.1179419606924057,1649.6306041704897,0.01,4.5294025535101055,0.009637026709595969,0.5,0.0367424536600948,0.0246534967828772,3.425246887817016,0,13.391059951930778,0,61
CCN(CC)CC,False,3.3712617504076907,3.7590085580413417,237.4367466429041,0.06971678137779236,0.0,0.0,5.2983466536414205,0.014166702282463691,0.5,0.031687865241911244,0.012387641603285923,1.2613584319845372,0,0.0,0,162
CCCCN,True,3.621147363814163,3.270629049084799,227.6882078595536,0.9884865283966064,0.006205786428736815,0.01,6.540796125908283,0.021305524840092127,0.5,0.25944429769715066,0.11945602922781272,1.395546039350555,0,22273.61439433473,0,240
CCCCNCCCC,True,3.919980476737414,3.88077442963022,258.5417725131393,0.5112969279289246,0.004401508273188526,0.01,1.857181206161935,0.030953020102698917,0.5,1.4668137150139497,0.7528703318274114,11.038609468127166,0,2207926.7748636864,0,336
CCCCCCCCOCCCCCCCC,False,9.999999998054495,3.4703632514555416,214.13941170722285,0.9240029454231262,0.0,0.0,0.6897791785639338,0.053059936812610294,0.5,1.8816864022492041,0.19089220820899885,10.396192971824762,0,0.0,0,1344
O=COC1CCCC1,False,3.5042535514106166,3.5287540825805843,271.2233607014286,1.7801247835159302,0.0,0.0,0.10143944533234076,0.005071972266617038,0.5,0.07522696880698687,0.02722857730955213,3.2085143041708646,0,0.0,0,8146
IC1CCCCC1,False,2.638580350685324,4.114076902349378,358.38931656122776,0.13742585480213165,0.0,0.0,0.16438765111232653,0.009669861830136855,0.5,0.10428637886223836,0.057579761925611414,8.469509088247499,0,0.0,0,8054
CCCCOC(=O)OCCCC,False,4.234608150739285,3.9452231372035325,276.1942931851368,1.8549050092697144,0.0,0.0,0.5890815492099318,0.01963605164033106,0.5,0.20283193713937506,0.06736254482939771,6.795427865147695,0,0.0,0,1430
FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,False,5.484566809565834,3.9450685410956567,178.13905190075576,0.3576888144016266,0.0,0.0,0.16724361768947896,0.007601982622249043,0.5,0.04232349337029771,0.011688313522934488,0.566556524150977,0,0.0,0,8163
